x,rates
0.957,2.2843
2.146,0.991
3.064,1.4055
4.224,0.3891
5.207,1.1035
6.182,1.887
7.185,1.4707
8.198,1.8851
9.307,1.3764
10.301,0.1064
11.368,0.936
12.403,0.6605
13.437,0.98
14.321,1.2813
15.354,0.8683
16.362,2.1767
17.517,0.5732
18.492,0.7279
19.48,0.7545
20.634,0.6435
21.416,1.1921
22.474,1.2735
23.475,1.1718
24.618,1.1707
25.497,2.2595
26.61,1.0681
27.626,1.5616
28.704,1.4507
29.628,1.3582
30.587,3.152
31.635,1.8507
32.651,2.3442
33.722,1.5557
34.396,4.6408
35.382,5.4274
36.485,4.3367
37.566,3.4474
38.685,2.9427
39.736,3.8391
40.671,3.6367
41.872,2.3262
42.999,1.7391
43.953,1.3536
44.945,1.3435
46.012,1.3424
47.032,1.0485
48.069,1.3405
49.048,1.4494
50.087,1.7231
51.129,1.2185
52.145,1.7211
53.087,1.4455
54.169,1.298
55.227,1.3885
56.147,1.3327
57.174,1.7163
58.386,1.0467
59.348,1.3205
60.397,0.7518
61.373,1.639
62.5,1.0519
63.299,2.1682
64.386,1.2332
65.475,1.0124
66.485,0.8283
67.482,0.7633
68.563,0.6249
69.609,0.8253
70.57,1.1174
71.58,0.9241
72.678,0.6209
73.711,0.9496
74.699,0.9761
75.711,0.7645
76.71,0.6811
77.638,0.552
78.722,1.1187
